,Date,Open,High,Low,Close,Adj Close,Volume
149,2018-11-09,17.629998999999998,17.780001000000002,16.040001,16.450001,14.760907999999999,77008500.0
150,2018-11-16,16.309998999999998,16.41,15.64,15.82,14.195597,65257100.0
151,2018-11-23,15.68,16.52,15.57,16.209999,14.545549,76593200.0
152,2018-11-30,16.190001000000002,16.85,14.81,15.3,13.728989000000002,73319500.0
153,2018-12-07,15.29,15.5,13.68,13.78,12.477108,75598100.0
154,2018-12-14,13.62,13.87,12.73,12.91,11.689364999999999,86082600.0
155,2018-12-21,12.88,13.39,12.39,13.36,12.096821,68351400.0
156,2018-12-28,13.41,13.88,13.11,13.65,12.359399,46561100.0
157,2019-01-04,13.92,14.85,13.81,14.71,13.319179,56658900.0
158,2019-01-11,14.64,15.65,14.52,15.61,14.134082999999999,56948800.0
159,2019-01-18,15.5,15.76,14.96,15.51,14.043538,64873700.0
160,2019-01-25,15.68,15.81,14.93,15.17,13.735686,63685200.0
161,2019-02-01,15.22,16.26,15.16,15.51,14.043538,68974000.0
162,2019-02-08,15.48,15.71,15.24,15.51,14.043538,57792600.0
163,2019-02-15,15.71,16.42,15.62,16.25,14.713573,36400200.0
164,2019-02-22,16.290001,16.629998999999998,16.08,16.4,14.849389000000002,68484700.0
165,2019-03-01,16.559998999999998,16.719998999999998,15.31,15.42,13.962048000000001,62816200.0
166,2019-03-08,15.26,15.96,15.21,15.79,14.425126,42455000.0
167,2019-03-15,15.78,16.129998999999998,14.4,14.43,13.182682999999999,72926400.0
168,2019-03-22,14.29,14.29,13.38,14.17,12.945157,95795500.0
169,2019-03-29,14.36,15.28,14.08,15.1,13.794768,66012700.0
170,2019-04-05,15.15,15.35,14.82,15.21,13.89526,43306900.0
171,2019-04-12,15.46,15.85,15.05,15.25,13.931802,73299500.0
172,2019-04-19,15.18,15.65,14.84,15.47,14.132786999999999,69349400.0
173,2019-04-26,15.49,15.91,15.11,15.43,14.096244,59113200.0
174,2019-05-03,15.48,15.65,14.66,14.93,13.639464000000002,50531300.0
175,2019-05-10,14.84,15.09,14.06,14.52,13.264903,53024500.0
176,2019-05-17,14.34,14.66,13.95,14.07,12.853800999999999,40817500.0
177,2019-05-24,14.14,14.31,13.75,14.06,12.844664999999999,52187500.0
178,2019-05-31,13.8,14.39,13.7,14.04,12.826395,53471700.0
179,2019-06-07,13.97,14.62,13.76,14.49,13.369589000000001,68915500.0
180,2019-06-14,14.51,15.12,14.2,14.6,13.471082000000001,53484600.0
181,2019-06-21,14.55,14.85,14.26,14.58,13.452628,52654700.0
182,2019-06-28,14.85,15.26,14.53,15.07,13.904739000000001,43208500.0
183,2019-07-05,15.21,15.45,14.95,15.23,14.052369,43860200.0
184,2019-07-12,15.24,15.29,14.66,14.79,13.646391,53247300.0
185,2019-07-19,14.95,16.1,14.9,15.72,14.504481,69272200.0
186,2019-07-26,15.77,16.139999,15.16,15.23,14.052369,74044500.0
187,2019-08-02,15.22,15.38,14.13,14.72,13.581803,66320900.0
188,2019-08-09,14.65,14.76,13.5,13.57,12.520725,65826400.0
189,2019-08-16,13.71,14.4,13.71,14.25,13.148147,47049200.0
190,2019-08-23,14.13,14.57,13.73,14.47,13.351134,50588200.0
191,2019-08-30,14.59,14.96,14.13,14.81,13.664845000000001,40040600.0
192,2019-09-06,14.78,16.4,14.77,16.25,15.156188,66602900.0
193,2019-09-13,16.5,16.68,16.0,16.120001000000002,15.034938,47024300.0
194,2019-09-20,16.17,16.24,15.74,15.89,14.820419000000001,41338400.0
195,2019-09-27,16.02,16.290001,14.77,15.23,14.204845,45873800.0
196,2019-10-04,15.24,15.59,14.81,15.11,14.092920999999999,47431000.0
197,2019-10-11,15.49,15.79,15.24,15.54,14.493979000000001,40877700.0
198,2019-10-18,15.54,16.48,15.36,16.18,15.0909,56915900.0
199,2019-10-25,16.129998999999998,16.75,15.83,16.1,15.016283999999999,40764500.0
200,2019-11-01,16.309998999999998,17.35,16.200001,16.91,15.771760999999998,48257200.0
201,2019-11-08,16.889999,16.950001,16.26,16.440001000000002,15.333397,39648000.0
202,2019-11-15,16.530001000000002,16.700001,16.26,16.49,15.380032,37216500.0
203,2019-11-22,16.58,16.84,16.540001,16.74,15.613206,26457200.0
204,2019-11-29,16.76,16.83,16.1,16.68,15.557242,40670800.0
205,2019-12-06,16.93,17.450001,16.84,17.42,16.399828,46741900.0
206,2019-12-13,17.379998999999998,17.540001,17.049999,17.299999,16.286856,45468100.0
207,2019-12-20,17.389999,17.450001,17.110001,17.26,16.249199,32622200.0
208,2019-12-27,17.33,17.33,17.01,17.09,16.089154999999998,27138300.0
209,2020-01-03,16.82,16.879998999999998,16.280001000000002,16.549999,15.580777,40529700.0
210,2020-01-10,16.549999,16.67,16.18,16.65,15.674923000000001,51091900.0
211,2020-01-17,16.700001,16.75,15.95,16.17,15.223032,43632700.0
212,2020-01-24,16.129998999999998,16.17,15.12,15.61,14.695828,52853600.0
213,2020-01-31,15.4,16.77,15.36,16.35,15.392491,74937600.0
214,2020-02-07,16.219998999999998,16.709999,16.129998999999998,16.6,15.627851000000001,31477200.0
215,2020-02-14,16.549999,16.690001000000002,16.139999,16.540001,15.571363,30013400.0
216,2020-02-21,16.42,16.450001,13.79,13.85,13.0389,65439300.0
217,2020-02-28,13.46,14.77,13.17,13.81,13.001242999999999,129612700.0
218,2020-03-06,13.07,13.54,9.2,9.46,9.001887,106712700.0
219,2020-03-13,10.38,10.58,6.94,8.28,7.87903,105335700.0
220,2020-03-20,8.4,9.97,7.6,9.85,9.373002,91930600.0
221,2020-03-27,9.24,10.1,8.03,8.39,7.9837050000000005,67808200.0
222,2020-04-03,8.36,11.22,7.9,11.01,10.476828999999999,72747200.0
223,2020-04-10,11.01,11.07,8.75,8.85,8.421429,57167600.0
224,2020-04-17,9.01,9.75,8.77,9.42,8.963825,67317100.0
225,2020-04-24,9.52,11.46,9.4,10.75,10.229419,63869900.0
